
S:1000G:500R:0,0.003000,0.032000,-858993446,-858992960,-858992960,0.002000
S:1000G:500R:1,0.002000,0.032000,-858993447,-858992960,-858992960,0.002000
S:1000G:500R:2,0.003000,0.031000,-858993446,-858992960,-858992960,0.003000
S:1000G:500R:3,0.002000,0.032000,-858993445,-858992960,-858992960,0.003000
S:1000G:500R:4,0.002000,0.032000,-858993441,-858992960,-858992960,0.003000
S:1000G:500R:5,0.002000,0.032000,-858993450,-858992960,-858992960,0.002000
S:1000G:500R:6,0.002000,0.032000,-858993444,-858992960,-858992960,0.003000
S:1000G:500R:7,0.002000,0.033000,-858993451,-858992960,-858992960,0.003000
S:1000G:500R:8,0.002000,0.032000,-858993448,-858992960,-858992960,0.002000
S:1000G:500R:9,0.002000,0.032000,-858993444,-858992960,-858992960,0.003000
S:1000G:500R:10,0.003000,0.031000,-858993449,-858992960,-858992960,0.003000
S:1000G:500R:11,0.002000,0.032000,-858993444,-858992960,-858992960,0.002000
S:1000G:500R:12,0.002000,0.031000,-858993450,-858992960,-858992960,0.002000
S:1000G:500R:13,0.002000,0.031000,-858993440,-858992960,-858992960,0.002000
S:1000G:500R:14,0.003000,0.032000,-858993450,-858992960,-858992960,0.002000
S:1000G:500R:15,0.002000,0.033000,-858993447,-858992960,-858992960,0.002000
S:1000G:500R:16,0.003000,0.031000,-858993448,-858992960,-858992960,0.002000
S:1000G:500R:17,0.002000,0.031000,-858993438,-858992960,-858992960,0.002000
S:1000G:500R:18,0.003000,0.031000,-858993443,-858992960,-858992960,0.002000
S:1000G:500R:19,0.002000,0.031000,-858993440,-858992960,-858992960,0.003000
S:1000G:500R:20,0.002000,0.032000,-858993444,-858992960,-858992960,0.003000
S:1000G:500R:21,0.002000,0.032000,-858993448,-858992960,-858992960,0.002000
S:1000G:500R:22,0.003000,0.031000,-858993451,-858992960,-858992960,0.002000
S:1000G:500R:23,0.002000,0.031000,-858993445,-858992960,-858992960,0.003000
S:1000G:500R:24,0.002000,0.032000,-858993441,-858992960,-858992960,0.002000
S:1000G:500R:25,0.002000,0.031000,-858993448,-858992960,-858992960,0.002000
S:1000G:500R:26,0.003000,0.031000,-858993444,-858992960,-858992960,0.003000
S:1000G:500R:27,0.002000,0.032000,-858993448,-858992960,-858992960,0.002000
S:1000G:500R:28,0.002000,0.032000,-858993445,-858992960,-858992960,0.003000
S:1000G:500R:29,0.002000,0.032000,-858993445,-858992960,-858992960,0.003000
S:1000G:500R:30,0.002000,0.032000,-858993448,-858992960,-858992960,0.002000
S:1000G:500R:31,0.003000,0.031000,-858993446,-858992960,-858992960,0.003000
S:1000G:500R:32,0.003000,0.031000,-858993439,-858992960,-858992960,0.003000
S:1000G:500R:33,0.002000,0.032000,-858993444,-858992960,-858992960,0.003000
S:1000G:500R:34,0.003000,0.031000,-858993435,-858992960,-858992960,0.002000
S:1000G:500R:35,0.003000,0.031000,-858993450,-858992960,-858992960,0.003000
S:1000G:500R:36,0.002000,0.032000,-858993448,-858992960,-858992960,0.003000
S:1000G:500R:37,0.002000,0.032000,-858993445,-858992960,-858992960,0.003000
S:1000G:500R:38,0.002000,0.032000,-858993435,-858992960,-858992960,0.003000
S:1000G:500R:39,0.002000,0.032000,-858993447,-858992960,-858992960,0.002000
S:1000G:500R:40,0.002000,0.032000,-858993440,-858992960,-858992960,0.003000
S:1000G:500R:41,0.002000,0.032000,-858993450,-858992960,-858992960,0.002000
S:1000G:500R:42,0.002000,0.031000,-858993439,-858992960,-858992960,0.002000
S:1000G:500R:43,0.003000,0.031000,-858993447,-858992960,-858992960,0.003000
S:1000G:500R:44,0.003000,0.032000,-858993446,-858992960,-858992960,0.002000
S:1000G:500R:45,0.002000,0.032000,-858993441,-858992960,-858992960,0.002000
S:1000G:500R:46,0.002000,0.032000,-858993440,-858992960,-858992960,0.002000
S:1000G:500R:47,0.002000,0.032000,-858993446,-858992960,-858992960,0.002000
S:1000G:500R:48,0.004000,0.031000,-858993451,-858992960,-858992960,0.002000
S:1000G:500R:49,0.002000,0.031000,-858993448,-858992960,-858992960,0.003000
